date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:08:45	142771/142771	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:44%20GMT	https://livewire.laravel.com/docs/quickstart	C:/Livewire/Livewire/livewire.laravel.com/docs/quickstart.html	(from )
13:08:45	151669/151669	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:45%20GMT	https://livewire.laravel.com/docs/installation	C:/Livewire/Livewire/livewire.laravel.com/docs/installation.html	(from )
13:08:46	252332/252332	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:45%20GMT	https://livewire.laravel.com/docs/upgrading	C:/Livewire/Livewire/livewire.laravel.com/docs/upgrading.html	(from )
13:08:46	250995/250995	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:46%20GMT	https://livewire.laravel.com/docs/components	C:/Livewire/Livewire/livewire.laravel.com/docs/components.html	(from )
13:08:46	24/24	---M--	200	added ('OK')	text/plain	etag:%22649c89f1-18%22	https://livewire.laravel.com/robots.txt		(from )
13:08:47	102329/102329	---M--	200	added ('OK')	image/png	etag:%2264b9a690-18fb9%22	https://livewire.laravel.com/meta.png	C:/Livewire/Livewire/livewire.laravel.com/meta.png	(from https://livewire.laravel.com/docs/quickstart)
13:08:47	7000/7000	---M--	200	added ('OK')	image/png	etag:%2264b9a690-1b58%22	https://livewire.laravel.com/apple-touch-icon.png	C:/Livewire/Livewire/livewire.laravel.com/apple-touch-icon.png	(from https://livewire.laravel.com/docs/quickstart)
13:08:47	990/990	---M--	200	added ('OK')	image/png	etag:%2264b9a690-3de%22	https://livewire.laravel.com/favicon-32x32.png	C:/Livewire/Livewire/livewire.laravel.com/favicon-32x32.png	(from https://livewire.laravel.com/docs/quickstart)
13:08:47	490/490	---M--	200	added ('OK')	image/png	etag:%2264b9a690-1ea%22	https://livewire.laravel.com/favicon-16x16.png	C:/Livewire/Livewire/livewire.laravel.com/favicon-16x16.png	(from https://livewire.laravel.com/docs/quickstart)
13:08:47	6033/6033	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d41d8cd98f00b204e9800998ecf8427e%22	https://cdn.usefathom.com/script.js	C:/Livewire/Livewire/cdn.usefathom.com/script.js	(from https://livewire.laravel.com/docs/quickstart)
13:08:48	18975/18975	---M-Z	200	added ('OK')	text/css	etag:W/%224a1f-CpG1pd4Wh0E5j9AIekidg+v/Nr4%22	https://cdn.jsdelivr.net/npm/docsearch.js@2/dist/cdn/docsearch.min.css	C:/Livewire/Livewire/cdn.jsdelivr.net/npm/docsearch.js@2/dist/cdn/docsearch.min.css	(from https://livewire.laravel.com/docs/quickstart)
13:08:48	406/406	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20Sep%202024%2016:08:48%20GMT	https://app.lemonsqueezy.com/js/lemon.js	C:/Livewire/Livewire/app.lemonsqueezy.com/js/lemon.a.delayed	(from https://livewire.laravel.com/docs/quickstart)
13:08:48	3861/3861	---MCZ	200	added ('OK')	application/javascript	etag:W/%227ab14ec4d42c00527c11c26545d07402%22	https://assets.lemonsqueezy.com/lemon.js	C:/Livewire/Livewire/assets.lemonsqueezy.com/lemon.js	(from https://livewire.laravel.com/docs/quickstart)
13:08:49	75029/75029	---MCZ	200	added ('OK')	text/css	etag:W/%22662672c9-12515%22	https://livewire.laravel.com/build/assets/app-a651d870.css	C:/Livewire/Livewire/livewire.laravel.com/build/assets/app-a651d870.css	(from https://livewire.laravel.com/docs/quickstart)
13:08:49	215011/215011	---MCZ	200	added ('OK')	application/javascript	etag:W/%22662672c9-347e3%22	https://livewire.laravel.com/build/assets/app-1b2b5a59.js	C:/Livewire/Livewire/livewire.laravel.com/build/assets/app-1b2b5a59.js	(from https://livewire.laravel.com/docs/quickstart)
13:08:49	310/310	---MC-	302	error ('Found')	text/html	date:Mon,%2016%20Sep%202024%2016:08:49%20GMT	https://livewire.laravel.com/docs/	C:/Livewire/Livewire/livewire.laravel.com/docs/index.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:50	249028/249028	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:49%20GMT	https://livewire.laravel.com/docs/properties	C:/Livewire/Livewire/livewire.laravel.com/docs/properties.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:50	299278/299278	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:50%20GMT	https://livewire.laravel.com/docs/actions	C:/Livewire/Livewire/livewire.laravel.com/docs/actions.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:50	275229/275229	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:50%20GMT	https://livewire.laravel.com/docs/forms	C:/Livewire/Livewire/livewire.laravel.com/docs/forms.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:50	214989/214989	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:50%20GMT	https://livewire.laravel.com/docs/events	C:/Livewire/Livewire/livewire.laravel.com/docs/events.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:50	184216/184216	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:50%20GMT	https://livewire.laravel.com/docs/lifecycle-hooks	C:/Livewire/Livewire/livewire.laravel.com/docs/lifecycle-hooks.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:51	232867/232867	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:51%20GMT	https://livewire.laravel.com/docs/nesting	C:/Livewire/Livewire/livewire.laravel.com/docs/nesting.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:51	255251/255251	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:51%20GMT	https://livewire.laravel.com/docs/testing	C:/Livewire/Livewire/livewire.laravel.com/docs/testing.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:51	180439/180439	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:51%20GMT	https://livewire.laravel.com/docs/alpine	C:/Livewire/Livewire/livewire.laravel.com/docs/alpine.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:51	182793/182793	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:51%20GMT	https://livewire.laravel.com/docs/navigate	C:/Livewire/Livewire/livewire.laravel.com/docs/navigate.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:52	165124/165124	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:52%20GMT	https://livewire.laravel.com/docs/lazy	C:/Livewire/Livewire/livewire.laravel.com/docs/lazy.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:52	252549/252549	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:52%20GMT	https://livewire.laravel.com/docs/validation	C:/Livewire/Livewire/livewire.laravel.com/docs/validation.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:52	208749/208749	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:52%20GMT	https://livewire.laravel.com/docs/uploads	C:/Livewire/Livewire/livewire.laravel.com/docs/uploads.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:53	189963/189963	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:52%20GMT	https://livewire.laravel.com/docs/pagination	C:/Livewire/Livewire/livewire.laravel.com/docs/pagination.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:53	160236/160236	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:53%20GMT	https://livewire.laravel.com/docs/url	C:/Livewire/Livewire/livewire.laravel.com/docs/url.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:53	180959/180959	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:53%20GMT	https://livewire.laravel.com/docs/computed-properties	C:/Livewire/Livewire/livewire.laravel.com/docs/computed-properties.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:53	134922/134922	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:53%20GMT	https://livewire.laravel.com/docs/session-properties	C:/Livewire/Livewire/livewire.laravel.com/docs/session-properties.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:53	139357/139357	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:53%20GMT	https://livewire.laravel.com/docs/redirecting	C:/Livewire/Livewire/livewire.laravel.com/docs/redirecting.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:54	138899/138899	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:53%20GMT	https://livewire.laravel.com/docs/downloads	C:/Livewire/Livewire/livewire.laravel.com/docs/downloads.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:54	130961/130961	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:54%20GMT	https://livewire.laravel.com/docs/locked	C:/Livewire/Livewire/livewire.laravel.com/docs/locked.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:54	125828/125828	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:54%20GMT	https://livewire.laravel.com/docs/bundling	C:/Livewire/Livewire/livewire.laravel.com/docs/bundling.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:54	123887/123887	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:54%20GMT	https://livewire.laravel.com/docs/offline	C:/Livewire/Livewire/livewire.laravel.com/docs/offline.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:54	129415/129415	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:54%20GMT	https://livewire.laravel.com/docs/teleport	C:/Livewire/Livewire/livewire.laravel.com/docs/teleport.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:55	126330/126330	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:55%20GMT	https://livewire.laravel.com/docs/wire-click	C:/Livewire/Livewire/livewire.laravel.com/docs/wire-click.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:55	132285/132285	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:55%20GMT	https://livewire.laravel.com/docs/wire-submit	C:/Livewire/Livewire/livewire.laravel.com/docs/wire-submit.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:55	173350/173350	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:55%20GMT	https://livewire.laravel.com/docs/wire-model	C:/Livewire/Livewire/livewire.laravel.com/docs/wire-model.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:55	163046/163046	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:55%20GMT	https://livewire.laravel.com/docs/wire-loading	C:/Livewire/Livewire/livewire.laravel.com/docs/wire-loading.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:56	124317/124317	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:56%20GMT	https://livewire.laravel.com/docs/wire-navigate	C:/Livewire/Livewire/livewire.laravel.com/docs/wire-navigate.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:56	130194/130194	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:56%20GMT	https://livewire.laravel.com/docs/wire-dirty	C:/Livewire/Livewire/livewire.laravel.com/docs/wire-dirty.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:56	124070/124070	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:56%20GMT	https://livewire.laravel.com/docs/wire-confirm	C:/Livewire/Livewire/livewire.laravel.com/docs/wire-confirm.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:56	139169/139169	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:56%20GMT	https://livewire.laravel.com/docs/wire-transition	C:/Livewire/Livewire/livewire.laravel.com/docs/wire-transition.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:56	120456/120456	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:56%20GMT	https://livewire.laravel.com/docs/wire-init	C:/Livewire/Livewire/livewire.laravel.com/docs/wire-init.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:57	130381/130381	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:57%20GMT	https://livewire.laravel.com/docs/wire-poll	C:/Livewire/Livewire/livewire.laravel.com/docs/wire-poll.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:57	120846/120846	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:57%20GMT	https://livewire.laravel.com/docs/wire-offline	C:/Livewire/Livewire/livewire.laravel.com/docs/wire-offline.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:57	122707/122707	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:57%20GMT	https://livewire.laravel.com/docs/wire-ignore	C:/Livewire/Livewire/livewire.laravel.com/docs/wire-ignore.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:57	122973/122973	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:57%20GMT	https://livewire.laravel.com/docs/wire-replace	C:/Livewire/Livewire/livewire.laravel.com/docs/wire-replace.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:58	150081/150081	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:58%20GMT	https://livewire.laravel.com/docs/wire-stream	C:/Livewire/Livewire/livewire.laravel.com/docs/wire-stream.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:58	153278/153278	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:58%20GMT	https://livewire.laravel.com/docs/morphing	C:/Livewire/Livewire/livewire.laravel.com/docs/morphing.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:58	159706/159706	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:58%20GMT	https://livewire.laravel.com/docs/hydration	C:/Livewire/Livewire/livewire.laravel.com/docs/hydration.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:58	160525/160525	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:58%20GMT	https://livewire.laravel.com/docs/understanding-nesting	C:/Livewire/Livewire/livewire.laravel.com/docs/understanding-nesting.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:59	141899/141899	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:58%20GMT	https://livewire.laravel.com/docs/troubleshooting	C:/Livewire/Livewire/livewire.laravel.com/docs/troubleshooting.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:59	182635/182635	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:59%20GMT	https://livewire.laravel.com/docs/security	C:/Livewire/Livewire/livewire.laravel.com/docs/security.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:59	236638/236638	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:59%20GMT	https://livewire.laravel.com/docs/javascript	C:/Livewire/Livewire/livewire.laravel.com/docs/javascript.html	(from https://livewire.laravel.com/docs/quickstart)
13:08:59	168413/168413	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:59%20GMT	https://livewire.laravel.com/docs/synthesizers	C:/Livewire/Livewire/livewire.laravel.com/docs/synthesizers.html	(from https://livewire.laravel.com/docs/quickstart)
13:09:00	149785/149785	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:08:59%20GMT	https://livewire.laravel.com/docs/contribution-guide	C:/Livewire/Livewire/livewire.laravel.com/docs/contribution-guide.html	(from https://livewire.laravel.com/docs/quickstart)
13:09:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20Sep%202024%2016:09:00%20GMT	http://cdn.carbonads.com/carbon.js?serve=CWYI55QL&placement=livewirelaravelcom&format=responsive	C:/Livewire/Livewire/cdn.carbonads.com/carbon.3bff47.delayed	(from https://livewire.laravel.com/docs/quickstart)
13:09:01	263518/263518	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202024%2016:09:00%20GMT	https://livewire.laravel.com/docs/volt	C:/Livewire/Livewire/livewire.laravel.com/docs/volt.html	(from https://livewire.laravel.com/docs/quickstart)
13:09:02	38006/38006	---MCZ	200	added ('OK')	application/javascript	etag:W/%222c3859cb7ecbeacca43f6b78e29083e6%22	https://cdn.carbonads.com/carbon.js?serve=CWYI55QL&placement=livewirelaravelcom&format=responsive	C:/Livewire/Livewire/cdn.carbonads.com/carbonff47.js	(from https://livewire.laravel.com/docs/quickstart)
13:09:02	175199/175199	---M-Z	200	added ('OK')	application/javascript	etag:W/%222ac5f-GvM9Pc1KzcsvOcvD14hfKmjz42o%22	https://cdn.jsdelivr.net/npm/docsearch.js@2/dist/cdn/docsearch.min.js	C:/Livewire/Livewire/cdn.jsdelivr.net/npm/docsearch.js@2/dist/cdn/docsearch.min.js	(from https://livewire.laravel.com/docs/quickstart)
13:09:03	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266e08bdf-4d7%22	https://livewire.laravel.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Livewire/Livewire/livewire.laravel.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://livewire.laravel.com/docs/upgrading)
13:09:04	37813/37813	---M--	200	added ('OK')	font/woff2	etag:%22662672c9-93b5%22	https://livewire.laravel.com/build/assets/Graphik-Bold-Web-fecb34e3.woff2	C:/Livewire/Livewire/livewire.laravel.com/build/assets/Graphik-Bold-Web-fecb34e3.woff2	(from https://livewire.laravel.com/build/assets/app-a651d870.css)
13:09:04	50304/50304	---M--	200	added ('OK')	font/woff	etag:%22662672c9-c480%22	https://livewire.laravel.com/build/assets/Graphik-Bold-Web-95a8027f.woff	C:/Livewire/Livewire/livewire.laravel.com/build/assets/Graphik-Bold-Web-95a8027f.woff	(from https://livewire.laravel.com/build/assets/app-a651d870.css)
13:09:04	40841/40841	---M--	200	added ('OK')	font/woff2	etag:%22662672c9-9f89%22	https://livewire.laravel.com/build/assets/Graphik-Semibold-Web-1d8a41b1.woff2	C:/Livewire/Livewire/livewire.laravel.com/build/assets/Graphik-Semibold-Web-1d8a41b1.woff2	(from https://livewire.laravel.com/build/assets/app-a651d870.css)
13:09:04	53523/53523	---M--	200	added ('OK')	font/woff	etag:%22662672c9-d113%22	https://livewire.laravel.com/build/assets/Graphik-Semibold-Web-e109e421.woff	C:/Livewire/Livewire/livewire.laravel.com/build/assets/Graphik-Semibold-Web-e109e421.woff	(from https://livewire.laravel.com/build/assets/app-a651d870.css)
13:09:04	35489/35489	---M--	200	added ('OK')	font/woff2	etag:%22662672c9-8aa1%22	https://livewire.laravel.com/build/assets/Graphik-Medium-Web-6241d6c2.woff2	C:/Livewire/Livewire/livewire.laravel.com/build/assets/Graphik-Medium-Web-6241d6c2.woff2	(from https://livewire.laravel.com/build/assets/app-a651d870.css)
13:09:04	47214/47214	---M--	200	added ('OK')	font/woff	etag:%22662672c9-b86e%22	https://livewire.laravel.com/build/assets/Graphik-Medium-Web-9e3f3f23.woff	C:/Livewire/Livewire/livewire.laravel.com/build/assets/Graphik-Medium-Web-9e3f3f23.woff	(from https://livewire.laravel.com/build/assets/app-a651d870.css)
13:09:05	36525/36525	---M--	200	added ('OK')	font/woff2	etag:%22662672c9-8ead%22	https://livewire.laravel.com/build/assets/Graphik-Regular-Web-a2f84420.woff2	C:/Livewire/Livewire/livewire.laravel.com/build/assets/Graphik-Regular-Web-a2f84420.woff2	(from https://livewire.laravel.com/build/assets/app-a651d870.css)
13:09:07	48538/48538	---M--	200	added ('OK')	font/woff	etag:%22662672c9-bd9a%22	https://livewire.laravel.com/build/assets/Graphik-Regular-Web-ae6d7735.woff	C:/Livewire/Livewire/livewire.laravel.com/build/assets/Graphik-Regular-Web-ae6d7735.woff	(from https://livewire.laravel.com/build/assets/app-a651d870.css)
13:09:13	38211/38211	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2016%20Sep%202024%2016:09:12%20GMT	https://player.vimeo.com/api/player.js	C:/Livewire/Livewire/player.vimeo.com/api/player.js	(from https://livewire.laravel.com/docs/morphing)
